added,title,year,rating5,rating10,imdb_url
"2015-06-11","Margin Call","2011","2","5","http://www.imdb.com/title/tt1615147/"
"2015-06-10","Drive","2011","5","9","http://www.imdb.com/title/tt0780504/"
"2015-06-09","Shutter Island","2010","4","9","http://www.imdb.com/title/tt1130884/"
"2015-06-06","Office Space","1999","3","7","http://www.imdb.com/title/tt0151804/"
"2015-05-29","The Great Gatsby","2013","3","6","http://www.imdb.com/title/tt1343092/"
"2015-05-29","Kung Fury","2015","3","9","http://www.imdb.com/title/tt3472226/"
"2015-05-21","Enemy of the State","1998","3","7","http://www.imdb.com/title/tt0120660/"
"2015-05-17","The Italian Job","2003","3","7","http://www.imdb.com/title/tt0317740/"
"2015-05-14","Blood and Bone","2009","2","4","http://www.imdb.com/title/tt0346631/"
"2015-05-14","The Rock","1996","2","4","http://www.imdb.com/title/tt0117500/"
"2015-05-09","Breaking Bad","2008","4","9","http://www.imdb.com/title/tt0903747/"
"2015-05-09","Better Call Saul","2015","4","9","http://www.imdb.com/title/tt3032476/"
"2015-05-05","The Girl with the Dragon Tattoo","2011","3","5","http://www.imdb.com/title/tt1568346/"
"2015-05-04","The Fifth Estate","2013","3","8","http://www.imdb.com/title/tt1837703/"
"2015-05-03","Europa Report","2013","4","7","http://www.imdb.com/title/tt2051879/"
"2015-05-02","Die Hard with a Vengeance","1995","3","6","http://www.imdb.com/title/tt0112864/"
"2015-04-30","Cymbeline","2014","1","2","http://www.imdb.com/title/tt3093522/"
"2015-04-27","The Hobbit: The Battle of the Five Armies","2014","3","7","http://www.imdb.com/title/tt2310332/"
"2015-04-20","La Femme Nikita","1990","2","4","http://www.imdb.com/title/tt0100263/"
"2015-04-19","RED","2010","2","4","http://www.imdb.com/title/tt1245526/"
"2015-04-17","Noriko's Dinner Table","2005","1","3","http://www.imdb.com/title/tt0468820/"
"2015-04-15","The Adjustment Bureau","2011","4","8","http://www.imdb.com/title/tt1385826/"
"2015-04-14","Shooter","2007","3","5","http://www.imdb.com/title/tt0822854/"
"2015-04-14","Lost in Translation","2003","3","7","http://www.imdb.com/title/tt0335266/"
"2015-04-13","Vegas Vacation","1997","1","3","http://www.imdb.com/title/tt0120434/"
"2015-04-12","3 Idiots","2009","3","7","http://www.imdb.com/title/tt1187043/"
"2015-04-04","American Sniper","2014","1","1","http://www.imdb.com/title/tt2179136/"
"2015-04-02","Jack Reacher","2012","2","5","http://www.imdb.com/title/tt0790724/"
"2015-04-01","The Divide","2011","2","3","http://www.imdb.com/title/tt1535616/"
